id,case_number,date_time,latitude,longitude,type,place_description,police_district
SHOOT-JH344541-#1,JH344541,2024-07-12 23:32:00,41.755683096,-87.564670941,BATTERY,STREET,004
SHOOT-JG559066-#1,JG559066,2023-12-29 19:42:00,41.912084236,-87.767197736,BATTERY,SIDEWALK,025
SHOOT-JH107897-#1,JH107897,2024-01-07 16:40:00,41.923841654,-87.754635346,BATTERY,SIDEWALK,025
SHOOT-JH145453-#1,JH145453,2024-02-08 20:04:00,41.751431654,-87.583304654,BATTERY,OTHER (SPECIFY),004
SHOOT-JH318365-#1,JH318365,2024-06-23 16:58:00,41.8401405,-87.70507,HOMICIDE,STREET,010
SHOOT-JH344563-#1,JH344563,2024-07-13 00:03:00,41.837941654,-87.647654654,BATTERY,SIDEWALK,009
HOM-JG495635-#1,JG495635,2023-11-07 19:20:00,41.7432805,-87.60284,HOMICIDE,STREET,006
HOM-JG102429-#2,JG102429,2023-01-03 02:35:00,41.779993096,-87.654349059,HOMICIDE,GAS STATION DRIVE/PROP.,007
HOM-JG103598-#2,JG103598,2023-01-03 22:53:00,41.775028346,-87.600305346,HOMICIDE,STREET,003
HOM-JG105586-#1,JG105586,2023-01-05 16:41:00,41.771824898,-87.676081093,HOMICIDE,VACANT LOT,007
HOM-JG106719-#2,JG106719,2023-01-06 16:06:00,41.873863096,-87.719869059,HOMICIDE,GAS STATION DRIVE/PROP.,011
HOM-JG109409-#1,JG109409,2023-01-09 08:12:00,41.870413096,-87.708729059,HOMICIDE,STREET,011
HOM-JG110272-#1,JG110272,2023-01-09 20:10:00,41.780538346,-87.615074654,HOMICIDE,STREET,003
HOM-JG114249-#1,JG114249,2023-01-13 01:44:00,41.812583096,-87.669549059,HOMICIDE,STREET,009
HOM-JG115873-#1,JG115873,2023-01-14 11:59:00,41.886911654,-87.765204654,HOMICIDE,STREET,015
HOM-JG117022-#1,JG117022,2023-01-15 11:43:00,41.745958346,-87.612924654,HOMICIDE,STREET,006
HOM-JG117362-#1,JG117362,2023-01-15 17:07:00,41.780658346,-87.621404654,HOMICIDE,PARKING LOT,003
HOM-JG117668-#2,JG117668,2023-01-16 00:09:00,41.751598346,-87.604685346,HOMICIDE,STREET,006
HOM-JG117679-#1,JG117679,2023-01-16 00:29:00,41.736643096,-87.628239059,HOMICIDE,STREET,006
HOM-JG117791-#1,JG117791,2023-01-16 05:12:00,41.879753096,-87.725200941,HOMICIDE,STREET,011
HOM-JG122712-#1,JG122712,2023-01-20 05:28:00,41.760658346,-87.622904654,HOMICIDE,YARD,003
HOM-JG123720-#1,JG123720,2023-01-20 22:34:00,41.886109669,-87.720928547,HOMICIDE,PORCH,011
HOM-JG123879-#1,JG123879,2023-01-21 03:06:00,41.926293096,-87.759559059,HOMICIDE,STREET,025
HOM-JG125776-#2,JG125776,2023-01-22 18:53:00,41.740596904,-87.632099059,HOMICIDE,ALLEY,006
HOM-JG134346-#1,JG134346,2023-01-30 06:03:00,41.857386904,-87.710719059,HOMICIDE,ALLEY,010
