id,case_number,date_time,latitude,longitude,type,place_description,police_district
13228617,JG445784,2023-10-01 02:01:00,41.808765632,-87.743179665,RECKLESS FIREARM DISCHARGE,ALLEY,008
13229649,JG446957,2023-10-01 23:45:00,41.74260724,-87.647507755,RECKLESS FIREARM DISCHARGE,STREET,006
13229559,JG446886,2023-10-01 22:10:00,41.797155083,-87.67318105,RECKLESS FIREARM DISCHARGE,STREET,009
13228584,JG445741,2023-10-01 01:14:00,41.686347238,-87.613182853,RECKLESS FIREARM DISCHARGE,SIDEWALK,005
13228709,JG445879,2023-10-01 04:34:00,41.895504362,-87.751946243,RECKLESS FIREARM DISCHARGE,STREET,015
13229160,JG446440,2023-10-01 02:40:00,41.806155768,-87.644116202,RECKLESS FIREARM DISCHARGE,STREET,009
13230783,JG448336,2023-10-02 20:34:00,41.744977571,-87.657570565,RECKLESS FIREARM DISCHARGE,SIDEWALK,006
13229790,JG447119,2023-10-02 05:22:00,41.785234142,-87.704532411,RECKLESS FIREARM DISCHARGE,ALLEY,008
13231835,JG449743,2023-10-03 21:00:00,41.786874395,-87.72114518,RECKLESS FIREARM DISCHARGE,STREET,008
13231591,JG449361,2023-10-03 16:42:00,41.775429728,-87.640753492,RECKLESS FIREARM DISCHARGE,STREET,007
13232060,JG449872,2023-10-03 23:56:00,41.875254899,-87.72654824,RECKLESS FIREARM DISCHARGE,STREET,011
13231058,JG448605,2023-10-03 02:28:00,41.696187007,-87.626661308,RECKLESS FIREARM DISCHARGE,SCHOOL - PUBLIC GROUNDS,005
13230969,JG448525,2023-10-03 01:55:00,41.89313078,-87.749279248,RECKLESS FIREARM DISCHARGE,ALLEY,015
13232932,JG451084,2023-10-04 19:35:00,41.787708265,-87.648633332,RECKLESS FIREARM DISCHARGE,STREET,007
13232554,JG450493,2023-10-04 11:00:00,41.771307996,-87.606576893,RECKLESS FIREARM DISCHARGE,STREET,003
13234306,JG452546,2023-10-05 20:34:00,41.741405644,-87.613040668,RECKLESS FIREARM DISCHARGE,ALLEY,006
13234410,JG452691,2023-10-05 23:47:00,41.743152848,-87.657611684,RECKLESS FIREARM DISCHARGE,ALLEY,006
13233821,JG452008,2023-10-05 13:42:00,41.713554609,-87.622456903,RECKLESS FIREARM DISCHARGE,STREET,005
13233497,JG451475,2023-10-05 06:50:00,41.799629456,-87.583584575,RECKLESS FIREARM DISCHARGE,STREET,002
13234847,JG452956,2023-10-06 07:52:00,41.883295808,-87.731290195,RECKLESS FIREARM DISCHARGE,STREET,011
13234434,JG452760,2023-10-06 02:36:00,41.769742848,-87.582118129,RECKLESS FIREARM DISCHARGE,ALLEY,003
13235526,JG454068,2023-10-06 23:45:00,41.797555002,-87.602785419,RECKLESS FIREARM DISCHARGE,STREET,002
13234441,JG452767,2023-10-06 02:43:00,41.903918623,-87.731258124,RECKLESS FIREARM DISCHARGE,STREET,025
13235904,JG454553,2023-10-07 11:43:00,41.65675095,-87.605132705,RECKLESS FIREARM DISCHARGE,SIDEWALK,005
13235681,JG454242,2023-10-07 05:07:00,41.798943331,-87.647706909,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),009
13235705,JG454253,2023-10-07 05:11:00,41.838674187,-87.728681091,RECKLESS FIREARM DISCHARGE,STREET,010
13236379,JG455130,2023-10-07 20:48:00,41.669830197,-87.639236636,RECKLESS FIREARM DISCHARGE,ALLEY,005
13236370,JG455139,2023-10-07 22:59:00,41.694970012,-87.625565185,RECKLESS FIREARM DISCHARGE,STREET,005
13236602,JG455386,2023-10-08 07:17:00,41.856010436,-87.723628428,RECKLESS FIREARM DISCHARGE,SIDEWALK,010
13237305,JG456228,2023-10-08 23:30:00,41.865475371,-87.728817777,RECKLESS FIREARM DISCHARGE,STREET,010
13237320,JG456237,2023-10-08 23:15:00,41.796065856,-87.720786336,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),008
13237834,JG456622,2023-10-08 17:00:00,41.791072442,-87.621934763,RECKLESS FIREARM DISCHARGE,STREET,002
13237293,JG456177,2023-10-08 22:14:00,41.798169164,-87.701248338,RECKLESS FIREARM DISCHARGE,STREET,009
